life	stock	10.478619
dollar	yen	10.806857
championship	tournament	14.213157
peace	plan	13.671774
five	month	12.627108
start	year	10.524331
man	woman	10.778237
car	train	13.061643
series	seven	14.047041
professor	student	14.762569
death	life	11.067157
radio	television	11.660338
american	japanese	14.203409
board	recommendation	14.997066
insurance	line	14.822782
announcement	news	11.231149
basketball	football	13.364255
cell	phone	10.868585
cash	money	11.773572
match	start	10.652304
benchmark	index	13.053594
confidence	consumer	11.290164
brazil	mexico	13.794456
association	journal	14.140053
profit	warning	11.642667
news	wednesday	11.551222
dividend	payment	14.373334
harvard	yale	16.14471
architecture	century	13.552511
bread	butter	14.868264
energy	secretary	12.016849
media	radio	11.411577
place	street	11.683866
loss	profit	11.642667
football	soccer	13.364255
dollar	money	8.065578
century	year	9.994138
century	nation	13.552511
drink	eat	13.732395
manslaughter	murder	14.766677
block	street	11.683866
minority	peace	13.671774
jazz	rock	15.703483
coast	forest	14.077193
avenue	street	11.683866
children	street	11.683866
atmosphere	peace	13.20611
medal	president	15.618987
focus	life	11.067157
car	plane	13.061643
experience	music	13.6673
lobster	wine	17.288445
doctor	nurse	15.016849
liquid	water	14.031147
hotel	month	12.627108
live	stock	14.759517
glass	metal	15.690427
culture	ministry	14.683019
money	operation	11.773572
center	school	12.785945
equipment	phone	10.868585
consumer	energy	9.909801
drink	mother	13.732395
football	tennis	13.364255
attempt	peace	13.671774
development	population	14.442358
king	queen	14.138505
governor	man	9.884324
gain	report	15.107873
planet	star	13.981711
food	fruit	14.450022
kind	type	16.132326
psychiatry	psychology	16.002691
cup	substance	16.773872
computer	news	11.551222
music	project	13.6673
automobile	car	13.061643
forest	wood	15.803018
museum	theater	15.778689
psychology	science	16.002691
life	term	11.067157
doctor	professor	12.807056
effort	investigation	15.985883
activity	travel	16.925875
chemistry	physics	15.483055
governor	interview	15.042689
cup	food	13.760362
delay	news	11.551222
mars	water	14.031147
hospital	infrastructure	18.358835
kilometer	mile	16.793237
prejudice	recognition	22.417728
car	jaguar	12.943281
currency	money	11.773572
opera	performance	15.531016
marathon	sprint	16.601811
coast	shore	15.759223
car	drink	9.698238
planet	sun	13.981711
car	flight	13.061643
king	rook	14.138505
food	seafood	14.056201
brandy	vodka	17.510838
history	theater	15.778689
insurance	peace	10.398755
tiger	tiger	11.967729
conclusion	situation	17.980323
cat	tiger	12.770394
recess	sign	19.610373
atmosphere	landscape	18.14471
airport	problem	16.894166
animal	tiger	13.082338
development	issue	14.442358
group	precedent	17.358835
eye	skin	16.169801
gain	media	11.691167
buck	dollar	10.806857
moon	planet	13.981711
fauna	tiger	13.082338
smart	student	14.165478
image	surface	17.873408
gin	vodka	17.510838
announcement	effort	12.592946
institution	practice	19.302251
information	precedent	17.358835
furnace	stove	22.002691
media	trading	13.246134
chance	credibility	19.195336
holy	sex	19.358835
announcement	production	13.646739
food	lobster	12.689973
serial	viewer	22.002691
aluminum	metal	15.703483
hike	production	16.915228
smart	stupid	17.221331
girl	possibility	19.14471
lobster	seafood	15.222857
feline	tiger	13.082338
glass	magician	15.208275
egg	stock	14.759517
example	precedent	17.358835
phone	stock	8.017729
bishop	rabbi	20.543259
shower	thunderstorm	21.195336
boy	lad	18.793237
cup	entity	16.773872
article	cup	16.773872
combination	direction	19.479129
journey	voyage	19.0958
coast	hill	15.769071
industry	opera	15.531016
isolation	situation	17.980323
marriage	morality	20.0958
forest	graveyard	15.803018
brother	lad	18.793237
asylum	madhouse	23.002691
similarity	word	24.002691
jaguar	tiger	7.892513
doctor	personnel	15.016849
bird	crane	19.915228
chemistry	space	15.483055
collection	precedent	17.358835
listing	proximity	24.002691
cd	stock	14.759517
cucumber	potato	21.417728
bird	cock	19.915228
mammal	tiger	13.082338
calculation	computation	21.417728
cup	object	16.773872
cemetery	woodland	20.680763
fuck	sex	19.358835
midday	noon	22.417728
cat	jaguar	13.450296
carnivore	tiger	13.082338
gem	jewel	21.195336
approach	sugar	20.417728
motto	volunteer	23.002691
importance	morality	20.0958
discipline	psychology	16.002691
shore	woodland	13.48109
jaguar	stock	6.569692
departure	deployment	22.417728
cabbage	king	14.138505
magician	wizard	22.002691
hypertension	reason	23.002691
